incident_id,crime_type,district,city,state,address,latitude,longitude,incident_datetime,officer_id,officer_first_name,officer_last_name,badge_number,suspect_id,suspect_first_name,suspect_last_name,suspect_age,suspect_gender,suspect_race,victim_id,victim_first_name,victim_last_name,victim_age,victim_gender,victim_phone,weapon_used,severity,case_status,resolution,num_arrests,property_loss_usd,reported_online,notes,badge_number_diketahui,tahun_kejadian,bulan_kejadian,akhir_pekan,selisih_usia_tersangka_korban,skor_keparahan,kerugian_per_penangkapan
INC002898,Property Damage,Central,Oakdale,NY,9798 Elm Blvd,36.632099,-104.196302,2020-03-03,OFF0035,John,Jones,9036,SUS00005,Ashley,Harris,49.0,Female,Black,VIC00682,Mark,Young,47.0,Unknown,5964449767,Unknown,High,Under Investigation,No Resolution Yet,0.0,27438.67,False,Incident at 9798 Elm Blvd. Officer responded at scene.,True,2020.0,3.0,False,2.0,3,27438.67
INC003264,Drug Offense,Central,Fairview,AZ,8650 Elm Blvd,46.424282,-120.996678,2018-09-09,OFF0111,Donna,Thompson,4688,Unidentified,Unidentified,Unidentified,46.0,Unknown,Unknown,VIC00084,Anthony,Nguyen,35.0,Unknown,8556248658,Bat,Low,Open,No Resolution Yet,2.0,41738.8,True,Tidak ada catatan tambahan.,True,2018.0,9.0,True,11.0,1,13912.93
INC003052,Burglary,East,Hillcrest,OH,5420 River Rd,47.020966,-83.072251,2020-07-04,OFF0104,James,Taylor,0,SUS00783,Anthony,Martin,33.0,Male,Asian,VIC00960,Mark,Taylor,55.0,Male,8322788736,Rifle,Critical,Closed,Warning Issued,2.0,24725.4,False,Incident at 5420 River Rd. Officer responded at scene.,False,2020.0,7.0,True,22.0,4,8241.8
INC000524,Theft/Larceny,Northeast,Centerville,FL,6121 Oak Ave,44.872436,-106.852051,2023-07-30,OFF0014,Joseph,Smith,4335,SUS00236,Thomas,Jones,46.0,Female,Hispanic,VIC00569,Robert,Scott,50.0,Male,6557603556,Knife,Critical,Closed,No Resolution Yet,2.0,3201.56,True,Incident at 6121 Oak Ave. Officer responded at scene.,True,2023.0,7.0,True,4.0,4,1067.19
INC000560,Fraud,Midtown,Centerville,OH,5094 Main St,28.121432,-84.979481,2020-01-04,OFF0046,Donna,Thompson,8121,SUS00074,Daniel,Thompson,52.0,Other,White,VIC00821,Barbara,Johnson,26.0,Male,,Pistol,High,Closed,Warning Issued,3.0,37228.41,True,Incident at 5094 Main St. Officer responded at scene.,True,2020.0,1.0,True,26.0,3,9307.1
INC000812,Drug Offense,North,Riverside,CA,5556 River Rd,47.561353,-85.069404,2020-11-26,OFF0133,Emily,Nguyen,8079,SUS00606,Chris,Garcia,21.0,Male,Asian,VIC00071,Daniel,Jackson,82.0,Female,6281223246,Blunt Object,High,Open,No Arrest,2.0,41473.0,True,Tidak ada catatan tambahan.,True,2020.0,11.0,False,61.0,3,13824.33
INC003999,Armed Robbery,Southeast,Centerville,PA,6637 Lincoln St,25.262347,-73.445871,2021-11-05,OFF0097,Ashley,Davis,6651,SUS00776,Joseph,Brown,18.0,Male,Black,VIC00676,Linda,Nguyen,50.0,Female,8971029006,Knife,Medium,Pending,No Resolution Yet,3.0,24725.4,True,Incident at 6637 Lincoln St. Officer responded at scene.,True,2021.0,11.0,False,32.0,2,6181.35
INC003972,Arson,Southwest,Centerville,IL,3221 Cedar Lane,25.80811,-106.368949,2022-10-07,OFF0141,Charles,Nguyen,7634,Unidentified,Unidentified,Unidentified,46.0,Unknown,Unknown,VIC00846,Donna,Jackson,82.0,Female,9249858530,Unknown,Critical,Pending,Warning Issued,4.0,24725.4,True,Incident at 3221 Cedar Lane. Officer responded at scene.,True,2022.0,10.0,False,36.0,4,4945.08
INC000949,Kidnapping,North,Maplewood,CA,5783 Main St,40.614362,-80.606867,2024-11-23,OFF0020,Susan,Walker,2599,SUS00636,Richard,Wright,57.0,Unknown,Unknown,VIC00228,Mary,Walker,49.0,Male,,Unknown,Medium,Closed,No Arrest,2.0,31931.65,False,Incident at 5783 Main St. Officer responded at scene.,True,2024.0,11.0,True,8.0,2,10643.88
INC002839,Graffiti,East,Hillcrest,FL,5563 Lincoln St,31.366741,-81.476181,2018-08-26,OFF0050,John,Smith,9830,SUS00294,Michael,Jones,51.0,Female,Hispanic,VIC00850,David,Williams,50.0,Male,,Bat,Medium,Closed,Warning Issued,0.0,6546.79,False,Incident at 5563 Lincoln St. Officer responded at scene.,True,2018.0,8.0,True,1.0,2,6546.79
INC002859,Trespassing,Midtown,Maplewood,PA,1522 Lincoln St,43.213574,-112.532649,2019-10-15,OFF0020,Joseph,Walker,6621,SUS00207,Mary,Brown,42.0,Female,Hispanic,VIC00225,Patricia,Green,12.0,Male,5271087397,Knife,Low,Closed,Dismissed,5.0,26845.31,True,Incident at 1522 Lincoln St. Officer responded at scene.,True,2019.0,10.0,False,30.0,1,4474.22
INC004651,Cybercrime,East,Oakdale,OH,3806 Washington Ave,39.701184,60.9112,2020-03-20,OFF0059,Sarah,Martin,5314,SUS00385,James,Young,35.0,Male,Black,VIC00777,Donna,Young,55.0,Female,7013956824,Firearm,Critical,Open,Warning Issued,3.0,2167.35,False,Incident at 3806 Washington Ave. Officer responded at scene.,True,2020.0,3.0,False,20.0,4,541.84
INC003793,Armed Robbery,South,Lakewood,CA,3852 River Rd,35.044905,-83.999129,2019-01-04,OFF0064,Jessica,Walker,9763,SUS00630,Donna,Harris,46.0,Male,Black,VIC00208,Richard,Anderson,50.0,Male,,Gun,Medium,Under Investigation,Arrest Made,3.0,38573.92,False,Incident at 3852 River Rd. Officer responded at scene.,True,2019.0,1.0,False,4.0,2,9643.48
INC004688,Trespassing,West,Lakewood,PA,1550 Sunset Blvd,25.112438,-97.442801,2021-08-28,OFF0094,Anthony,Moore,2483,SUS00220,Robert,Wright,58.0,Other,Unknown,VIC00521,Mark,Harris,33.0,Female,2942118872,Bat,Medium,Open,Arrest Made,1.0,8534.94,True,Incident at 1550 Sunset Blvd. Officer responded at scene.,True,2021.0,8.0,True,25.0,2,4267.47
INC003745,Assault,Central,Riverside,NY,2767 River Rd,28.234244,-94.6682905,2018-01-24,OFF0018,James,Lee,5491,SUS00769,Donna,Thompson,54.0,Unknown,White,VIC00116,Thomas,Miller,74.0,Female,7626383161,Firearm,Low,Closed,Arrest Made,2.0,24970.35,False,Incident at 2767 River Rd. Officer responded at scene.,True,2018.0,1.0,False,20.0,1,8323.45
INC002571,Sexual Assault,North,Centerville,AZ,4669 Washington Ave,25.148272,-93.057116,2023-05-28,OFF0144,Michelle,Flores,4616,SUS00376,James,Thompson,61.0,Male,Hispanic,VIC00147,Susan,Nguyen,50.0,Other,,Knife,Medium,Closed,No Resolution Yet,3.0,24725.4,False,Incident at 4669 Washington Ave. Officer responded at scene.,True,2023.0,5.0,True,11.0,2,6181.35
INC002592,Fraud,Midtown,Riverside,PA,3360 Sunset Blvd,25.974863,-96.956091,2020-08-15,OFF0082,Anthony,Thompson,4313,SUS00733,Karen,Green,58.0,Female,Black,VIC00333,Barbara,Johnson,64.0,Male,8066824246,Blunt Object,Medium,Closed,Warning Issued,3.0,24725.4,False,Incident at 3360 Sunset Blvd. Officer responded at scene.,True,2020.0,8.0,True,6.0,2,6181.35
INC003754,Theft/Larceny,South,Maplewood,FL,120 Oak Ave,34.995351,-74.532818,2020-05-17,OFF0017,Emily,Brown,2857,SUS00615,Jennifer,Martin,57.0,Male,Asian,VIC00223,David,Hill,41.0,Male,7714064573,Unknown,Critical,Pending,No Arrest,0.0,483.77,True,Incident at 120 Oak Ave. Officer responded at scene.,True,2020.0,5.0,True,16.0,4,483.77
INC003891,Drug Offense,East,Centerville,OH,393 Elm Blvd,36.549199,-89.43987,2018-11-28,OFF0008,David,Moore,3817,SUS00378,Sarah,White,31.0,Female,White,VIC00734,Carol,Wright,69.0,Male,4869555798,Gun,Medium,Under Investigation,Arrest Made,2.0,29148.65,False,Tidak ada catatan tambahan.,True,2018.0,11.0,False,38.0,2,9716.22
INC001824,Trespassing,West,Fairview,PA,2876 River Rd,29.118935,-89.958829,2019-07-14,OFF0069,John,Anderson,2450,SUS00248,Ashley,Johnson,20.0,Male,Other,VIC00621,Joseph,Brown,36.0,Unknown,9175435246,Blunt Object,High,Closed,No Resolution Yet,0.0,25983.21,False,Tidak ada catatan tambahan.,True,2019.0,7.0,True,16.0,3,25983.21
INC003739,Theft/Larceny,East,Springfield,NC,6343 Sunset Blvd,44.749794,-73.947406,2021-07-18,OFF0031,Michelle,Martin,9056,SUS00344,Ashley,Moore,63.0,Male,Hispanic,VIC00171,Daniel,Taylor,43.0,Male,,Unknown,Medium,Under Investigation,Warning Issued,4.0,41970.69,False,Tidak ada catatan tambahan.,True,2021.0,7.0,True,20.0,2,8394.14
INC004507,Arson,West,Maplewood,NC,3637 Sunset Blvd,36.549199,-71.382964,2020-06-19,OFF0129,Sarah,Torres,9283,SUS00485,Susan,Young,42.0,Female,White,VIC00335,Charles,Martin,39.0,Male,9832759311,Rifle,Medium,Open,Arrest Made,4.0,9134.49,True,Incident at 3637 Sunset Blvd. Officer responded at scene.,True,2020.0,6.0,False,3.0,2,1826.9
INC002064,Homicide,Central,Lakewood,NC,4740 Washington Ave,44.042164,-94.6682905,2021-07-15,OFF0062,Donna,Moore,3585,SUS00784,Joseph,Jones,32.0,Male,Hispanic,VIC00095,James,Martin,33.0,Female,7698247668,Bat,Critical,Closed,No Arrest,4.0,42488.18,True,Incident at 4740 Washington Ave. Officer responded at scene.,True,2021.0,7.0,False,1.0,4,8497.64
INC000769,Domestic Violence,West,Lakewood,TX,2829 Main St,37.746236,-75.794667,2020-04-01,OFF0141,Barbara,Jones,7093,SUS00038,Nancy,Thomas,63.0,Female,Unknown,VIC00620,Matthew,White,74.0,Female,3671332010,Blunt Object,Low,Closed,No Resolution Yet,2.0,6820.75,True,Tidak ada catatan tambahan.,True,2020.0,4.0,False,11.0,1,2273.58
INC000900,Trespassing,South,Oakdale,FL,9483 Park Rd,26.435438,-94.6682905,2023-07-11,OFF0097,Patricia,Anderson,1920,Unidentified,Unidentified,Unidentified,46.0,Unknown,Unknown,VIC00863,Richard,Brown,60.0,Unknown,2553258101,Unknown,Low,Closed,Arrest Made,0.0,13459.71,False,Incident at 9483 Park Rd. Officer responded at scene.,True,2023.0,7.0,False,14.0,1,13459.71
INC001193,Trespassing,North,Lakewood,OH,4072 Oak Ave,40.228054,-75.920794,2019-07-28,OFF0122,Jennifer,Anderson,0,SUS00293,Charles,Torres,38.0,Male,Unknown,VIC00013,James,White,83.0,Male,,Hands/Feet,Medium,Open,Warning Issued,3.0,7425.53,False,Incident at 4072 Oak Ave. Officer responded at scene.,False,2019.0,7.0,True,45.0,2,1856.38
INC004887,Cybercrime,North,Riverside,GA,1646 Oak Ave,34.412742,-85.854041,2024-01-29,OFF0028,Daniel,Flores,8763,SUS00238,Joseph,Moore,50.0,Unknown,Hispanic,VIC00699,Daniel,Nguyen,17.0,Female,6243696990,Unknown,Medium,Open,Warning Issued,2.0,14830.28,False,Incident at 1646 Oak Ave. Officer responded at scene.,True,2024.0,1.0,False,33.0,2,4943.43
INC000015,Assault,West,Riverside,GA,3034 Park Rd,29.976847,-96.821673,2024-03-01,OFF0135,Nancy,Moore,2647,SUS00199,Susan,Garcia,34.0,Male,Unknown,VIC00547,Mary,Johnson,80.0,Female,9142299042,Hands/Feet,High,Open,Arrest Made,2.0,23469.85,False,Incident at 3034 Park Rd. Officer responded at scene.,True,2024.0,3.0,False,46.0,3,7823.28
INC002728,Burglary,West,Oakdale,PA,6010 Cedar Lane,38.426433,-119.113425,2020-04-16,OFF0132,William,Scott,5151,SUS00293,Michael,Allen,35.0,Male,Other,VIC00765,Barbara,Green,50.0,Male,3058114555,Unknown,Low,Closed,No Resolution Yet,0.0,3381.3,True,Incident at 6010 Cedar Lane. Officer responded at scene.,True,2020.0,4.0,False,15.0,1,3381.3
INC004684,Homicide,Northeast,Maplewood,GA,6859 Oak Ave,34.916346,-83.935027,2020-09-09,OFF0078,Emily,Jackson,3050,SUS00546,Carol,Johnson,21.0,Male,Hispanic,VIC00905,Robert,Johnson,21.0,Female,5485429323,Blunt Object,Low,Open,No Arrest,4.0,21921.32,True,Incident at 6859 Oak Ave. Officer responded at scene.,True,2020.0,9.0,False,0.0,1,4384.26
INC002900,Arson,Southwest,Springfield,GA,5328 Elm Blvd,39.803413,-103.317577,2022-06-14,OFF0101,Barbara,Green,4082,SUS00527,Jessica,Moore,34.0,Male,Unknown,VIC00501,Jessica,Johnson,36.0,Unknown,5545185824,Hands/Feet,Low,Open,No Arrest,2.0,22890.42,True,Incident at 5328 Elm Blvd. Officer responded at scene.,True,2022.0,6.0,False,2.0,1,7630.14
INC000244,Trespassing,East,Oakdale,TX,919 Sunset Blvd,39.661998,-118.759075,,OFF0140,William,Hill,4181,SUS00671,James,Taylor,68.0,Unknown,White,VIC00920,Mark,Young,56.0,Female,2147807605,Unknown,High,Closed,No Resolution Yet,0.0,3247.75,True,Tidak ada catatan tambahan.,True,,,False,12.0,3,3247.75
INC000317,Hacking,Southwest,Maplewood,NC,839 Sunset Blvd,47.743973,61.9776,2023-08-17,OFF0142,Barbara,Scott,2898,SUS00241,Richard,Thompson,61.0,Male,Hispanic,VIC00559,James,Hall,64.0,Female,5367625023,Unarmed,Low,Closed,Warning Issued,5.0,36550.83,True,Incident at 839 Sunset Blvd. Officer responded at scene.,True,2023.0,8.0,False,3.0,1,6091.8
INC003964,Arson,South,Springfield,GA,4240 Cedar Lane,36.549199,-94.6682905,2019-01-06,OFF0150,Patricia,Torres,6755,SUS00018,Joseph,Flores,15.0,Female,Unknown,VIC00946,Robert,Green,46.0,Male,8997643953,Knife,Low,Pending,Dismissed,4.0,891.23,True,Incident at 4240 Cedar Lane. Officer responded at scene.,True,2019.0,1.0,True,31.0,1,178.25
INC002377,Trespassing,West,Maplewood,NC,5442 Lincoln St,34.234368,-86.65302,2024-08-31,OFF0075,Linda,Jones,5568,SUS00313,Charles,Anderson,52.0,Female,Hispanic,VIC00457,Jessica,Brown,50.0,Female,,Knife,Medium,Closed,No Resolution Yet,2.0,24725.4,False,Incident at 5442 Lincoln St. Officer responded at scene.,True,2024.0,8.0,True,2.0,2,8241.8
INC000950,Assault,Southwest,Springfield,NY,438 Lincoln St,37.308371,85.9617,2018-09-18,OFF0134,Michael,Wilson,4277,SUS00281,Michael,Jackson,46.0,Male,Black,VIC00541,Carol,Martin,73.0,Male,8307445076,Gun,Critical,Under Investigation,No Resolution Yet,2.0,13029.45,True,Incident at 438 Lincoln St. Officer responded at scene.,True,2018.0,9.0,False,27.0,4,4343.15
INC001130,Homicide,North,Centerville,AZ,7801 Maple Dr,26.778073,-119.194899,2018-05-24,OFF0053,Jennifer,Garcia,8060,SUS00028,Barbara,Scott,70.0,Male,Asian,VIC00765,Jennifer,Jackson,69.0,Female,7444177917,Hands/Feet,Medium,Pending,No Arrest,0.0,40852.02,False,Tidak ada catatan tambahan.,True,2018.0,5.0,False,1.0,2,40852.02
INC000482,Drug Offense,South,Hillcrest,NY,5281 Lincoln St,36.382612,-89.385534,2022-10-05,OFF0118,Richard,Thompson,1113,SUS00384,Mary,Scott,26.0,Male,Unknown,VIC00711,Sarah,Torres,21.0,Female,4713501097,Hands/Feet,Critical,Under Investigation,Warning Issued,0.0,30173.5,True,Incident at 5281 Lincoln St. Officer responded at scene.,True,2022.0,10.0,False,5.0,4,30173.5
INC003956,Sexual Assault,Midtown,Lakewood,NY,5620 Elm Blvd,35.355585,-90.877583,2018-12-03,OFF0057,Ashley,Hill,8927,SUS00497,Anthony,Jackson,66.0,Female,Other,VIC00090,Barbara,Thompson,39.0,Male,3773475641,Firearm,Low,Closed,Arrest Made,2.0,33823.25,False,Tidak ada catatan tambahan.,True,2018.0,12.0,False,27.0,1,11274.42
INC004230,Arson,South,Maplewood,GA,5167 Cedar Lane,27.148476,-80.946078,2020-11-15,OFF0117,Matthew,Williams,8890,Unidentified,Unidentified,Unidentified,46.0,Unknown,Unknown,VIC00677,Mark,Martin,23.0,Unknown,3298727137,Firearm,Medium,Under Investigation,Warning Issued,3.0,24725.4,False,Incident at 5167 Cedar Lane. Officer responded at scene.,True,2020.0,11.0,True,23.0,2,6181.35
INC000567,Drug Offense,Midtown,Maplewood,TX,2799 Washington Ave,47.521741,-104.824812,2024-11-14,OFF0133,Anthony,Flores,2812,SUS00386,Matthew,Lee,26.0,Male,Asian,VIC00211,Patricia,Young,38.0,Female,7458802502,Knife,Low,Open,Dismissed,4.0,3251.53,True,Incident at 2799 Washington Ave. Officer responded at scene.,True,2024.0,11.0,False,12.0,1,650.31
INC002306,Graffiti,Southeast,Riverside,IL,3774 Lincoln St,31.024657,-104.666615,2022-02-11,OFF0128,Chris,Anderson,2414,SUS00223,Chris,Allen,26.0,Female,Unknown,VIC00881,Barbara,Moore,50.0,Unknown,4393566312,Hands/Feet,Medium,Open,Warning Issued,2.0,24725.4,True,Incident at 3774 Lincoln St. Officer responded at scene.,True,2022.0,2.0,False,24.0,2,8241.8
INC000867,Burglary,North,Oakdale,NC,1212 Maple Dr,34.82311,-97.225538,2018-07-12,OFF0123,Nancy,Martin,3325,Unidentified,Unidentified,Unidentified,46.0,Unknown,Unknown,Unidentified,Unidentified,Unidentified,50.0,Unknown,,Blunt Object,Critical,Pending,No Resolution Yet,5.0,28975.86,True,Incident at 1212 Maple Dr. Officer responded at scene.,True,2018.0,7.0,False,4.0,4,4829.31
INC003546,Theft/Larceny,Midtown,Centerville,FL,921 Cedar Lane,42.814437,-88.038978,2023-05-18,OFF0015,David,Scott,1379,SUS00575,Mark,Jones,44.0,Unknown,Unknown,VIC00332,Nancy,Allen,74.0,Female,3514238351,Rifle,Medium,Under Investigation,Warning Issued,2.0,25250.59,False,Incident at 921 Cedar Lane. Officer responded at scene.,True,2023.0,5.0,False,30.0,2,8416.86
INC000650,Theft/Larceny,South,Riverside,CA,3567 Washington Ave,45.744,-117.203431,2018-12-24,OFF0130,Donna,Scott,8850,Unidentified,Unidentified,Unidentified,46.0,Unknown,Unknown,VIC00833,Patricia,Davis,36.0,Male,3621235079,Hands/Feet,Medium,Open,Arrest Made,2.0,21492.87,False,Tidak ada catatan tambahan.,True,2018.0,12.0,False,10.0,2,7164.29
INC004001,Trespassing,Central,Hillcrest,NY,7883 Park Rd,26.183893,-116.922163,2024-02-05,OFF0003,William,Taylor,4897,SUS00280,Thomas,Hall,72.0,Male,Hispanic,VIC00993,Richard,Nguyen,19.0,Male,8282281575,Hands/Feet,High,Pending,No Resolution Yet,4.0,33414.71,True,Incident at 7883 Park Rd. Officer responded at scene.,True,2024.0,2.0,False,53.0,3,6682.94
INC004659,Arson,North,Lakewood,FL,5915 Main St,25.750817,-98.651542,2022-12-09,OFF0025,Jennifer,Young,0,SUS00514,William,Torres,41.0,Male,White,VIC00812,Charles,Moore,78.0,Male,3787224095,Unknown,Medium,Under Investigation,No Resolution Yet,4.0,42965.02,True,Incident at 5915 Main St. Officer responded at scene.,False,2022.0,12.0,False,37.0,2,8593.0
INC002962,Kidnapping,West,Oakdale,OH,237 Maple Dr,47.353581,-109.76991,2018-06-15,OFF0059,Carol,Brown,9011,SUS00671,Matthew,Davis,17.0,Male,Asian,VIC00142,Jessica,Nguyen,21.0,Female,5109132226,Unknown,Critical,Closed,No Resolution Yet,5.0,8345.88,True,Incident at 237 Maple Dr. Officer responded at scene.,True,2018.0,6.0,False,4.0,4,1390.98
INC000403,DUI,Midtown,Riverside,NY,2584 Oak Ave,47.248778,-70.119269,2024-06-20,OFF0147,Joseph,Jones,2002,SUS00708,Michelle,Harris,63.0,Male,Hispanic,VIC00335,Michelle,Martin,50.0,Male,4937457763,Rifle,Medium,Closed,Arrest Made,1.0,42957.18,True,Tidak ada catatan tambahan.,True,2024.0,6.0,False,13.0,2,21478.59
INC000529,DUI,North,Fairview,FL,8485 Maple Dr,36.549199,-99.823607,2020-01-12,OFF0002,Donna,Thompson,8653,SUS00196,James,Thompson,73.0,Unknown,Hispanic,VIC00129,Anthony,Smith,68.0,Male,4296683734,Unarmed,Medium,Closed,Warning Issued,2.0,45992.69,False,Tidak ada catatan tambahan.,True,2020.0,1.0,True,5.0,2,15330.9
INC003033,Cybercrime,Northeast,Riverside,CA,3853 Maple Dr,47.486281,-84.4065,2019-09-27,OFF0100,Linda,Taylor,5319,SUS00768,Carol,White,50.0,Female,Asian,VIC00499,Ashley,Jackson,10.0,Female,6826607304,Knife,Low,Open,Arrest Made,2.0,39258.03,True,Incident at 3853 Maple Dr. Officer responded at scene.,True,2019.0,9.0,False,40.0,1,13086.01
INC001611,Fraud,Northeast,Riverside,CA,1869 Cedar Lane,32.361281,-74.194224,2021-10-08,OFF0027,Joseph,Hall,4323,Unidentified,Unidentified,Unidentified,46.0,Unknown,Unknown,VIC00193,Patricia,Green,18.0,Male,7169758295,Pistol,Low,Closed,Dismissed,0.0,31832.75,True,Incident at 1869 Cedar Lane. Officer responded at scene.,True,2021.0,10.0,False,28.0,1,31832.75
INC003846,Homicide,Southwest,Lakewood,NC,5327 Main St,37.225832,-106.451411,2020-07-17,OFF0017,John,Jackson,8968,Unidentified,Unidentified,Unidentified,46.0,Unknown,Unknown,VIC00874,Joseph,Williams,49.0,Female,5515284227,Blunt Object,Critical,Open,No Arrest,1.0,14314.61,True,Incident at 5327 Main St. Officer responded at scene.,True,2020.0,7.0,False,3.0,4,7157.3
INC002810,Manslaughter,Northeast,Lakewood,OH,8729 Sunset Blvd,36.549199,-115.686993,2020-08-17,OFF0095,Chris,Martin,5581,Unidentified,Unidentified,Unidentified,46.0,Unknown,Unknown,VIC00253,David,Moore,90.0,Female,6783887476,Pistol,Critical,Under Investigation,No Arrest,3.0,38587.52,True,Incident at 8729 Sunset Blvd. Officer responded at scene.,True,2020.0,8.0,False,44.0,4,9646.88
INC003225,Robbery,Southwest,Lakewood,CA,3401 Washington Ave,40.068917,-97.577698,2019-10-29,OFF0113,James,Thomas,3272,SUS00332,Robert,Thompson,22.0,Unknown,Unknown,Unidentified,Unidentified,Unidentified,50.0,Unknown,,Unarmed,Low,Closed,No Arrest,3.0,24950.43,True,Tidak ada catatan tambahan.,True,2019.0,10.0,False,28.0,1,6237.61
INC003580,Vandalism,Southwest,Fairview,OH,3642 River Rd,37.02668,-70.788066,2019-10-11,OFF0074,Charles,Wright,5870,SUS00788,Emily,Scott,39.0,Other,White,Unidentified,Unidentified,Unidentified,50.0,Unknown,,Firearm,Medium,Under Investigation,No Arrest,0.0,39046.99,False,Incident at 3642 River Rd. Officer responded at scene.,True,2019.0,10.0,False,11.0,2,39046.99
INC001075,Vandalism,East,Fairview,TX,7867 Maple Dr,47.644934,-83.933901,2022-03-04,OFF0146,Jessica,Davis,2313,Unidentified,Unidentified,Unidentified,46.0,Unknown,Unknown,VIC00704,Michelle,Wright,45.0,Unknown,5989362315,Unknown,Low,Closed,No Resolution Yet,2.0,4603.23,True,Incident at 7867 Maple Dr. Officer responded at scene.,True,2022.0,3.0,False,1.0,1,1534.41
